,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
409,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/24,True,16,2022,5.0,2.0
410,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/25,True,17,2022,5.0,2.0
411,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/25,True,17,2022,5.0,2.0
412,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/25,True,17,2022,5.0,2.0
413,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/27,True,17,2022,5.0,2.0
414,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/27,True,17,2022,5.0,2.0
415,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/28,True,17,2022,5.0,2.0
416,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/28,True,17,2022,5.0,2.0
417,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/29,True,17,2022,5.0,2.0
418,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/29,True,17,2022,5.0,2.0
419,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/29,True,17,2022,5.0,2.0
420,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/29,True,17,2022,5.0,2.0
421,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/30,False,17,2022,5.0,2.0
422,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/30,False,17,2022,5.0,2.0
423,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/1,False,17,2022,5.0,2.0
424,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/1,False,17,2022,5.0,2.0
425,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/2,False,18,2022,5.0,2.0
426,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/2,False,18,2022,5.0,2.0
427,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/3,False,18,2022,5.0,2.0
428,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/3,False,18,2022,5.0,2.0
429,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/3,False,18,2022,5.0,2.0
430,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/4,False,18,2022,5.0,2.0
431,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/5/4,False,18,2022,5.0,2.0
