,日期,週,年,病人數量,總病人數,平均病人數,前一週總病人數,前一週平均病人數
138,2021/9/5,35,2021,31,259.0,37.0,237.0,33.86
139,2021/9/12,36,2021,34,258.0,36.86,259.0,37.0
140,2021/9/19,37,2021,29,271.0,38.71,258.0,36.86
141,2021/9/26,38,2021,29,194.0,27.71,271.0,38.71
142,2021/10/3,39,2021,41,286.0,40.86,194.0,27.71
143,2021/10/10,40,2021,21,233.0,33.29,286.0,40.86
144,2021/10/17,41,2021,20,176.0,25.14,233.0,33.29
145,2021/10/24,42,2021,21,182.0,26.0,176.0,25.14
146,2021/10/31,43,2021,36,238.0,34.0,182.0,26.0
147,2021/11/7,44,2021,33,247.0,35.29,238.0,34.0
148,2021/11/14,45,2021,29,279.0,39.86,247.0,35.29
149,2021/11/21,46,2021,33,233.0,33.29,279.0,39.86
150,2021/11/28,47,2021,36,259.0,37.0,233.0,33.29
151,2021/12/5,48,2021,27,206.0,29.43,259.0,37.0
152,2021/12/12,49,2021,25,198.0,28.29,206.0,29.43
153,2021/12/19,50,2021,24,234.0,33.43,198.0,28.29
154,2021/12/26,51,2021,29,240.0,34.29,234.0,33.43
155,2021/12/31,52,2021,39,203.0,40.6,240.0,34.29
