住院日期,護理站,成本中心,人數,週,年,該週總人數,該週最多人,前1週人數,前1週最多人,前1週平均人數
2021-12-19,D15,DLN5,23,50,2021,200,37.0,170.0,28.0,24.29
2021-12-26,D15,DLN5,27,51,2021,214,36.0,200.0,37.0,28.57
2022-01-02,D15,DLN5,27,52,2021,230,40.0,214.0,36.0,30.57
2022-01-09,D15,DLN5,32,1,2022,224,37.0,230.0,40.0,32.86
2022-01-16,D15,DLN5,27,2,2022,231,40.0,224.0,37.0,32.0
2022-01-23,D15,DLN5,26,3,2022,217,39.0,231.0,40.0,33.0
2022-01-30,D15,DLN5,2,4,2022,101,28.0,217.0,39.0,31.0
2022-02-06,D15,DLN5,1,5,2022,12,2.0,101.0,28.0,14.43
2022-02-13,D15,DLN5,34,6,2022,214,38.0,12.0,2.0,1.71
2022-02-20,D15,DLN5,33,7,2022,256,43.0,214.0,38.0,30.57
2022-02-27,D15,DLN5,22,8,2022,201,37.0,256.0,43.0,36.57
2022-03-06,D15,DLN5,24,9,2022,180,30.0,201.0,37.0,28.71
2022-03-13,D15,DLN5,31,10,2022,249,41.0,180.0,30.0,25.71
2022-03-20,D15,DLN5,33,11,2022,242,41.0,249.0,41.0,35.57
2022-03-27,D15,DLN5,40,12,2022,270,40.0,242.0,41.0,34.57
2022-04-03,D15,DLN5,26,13,2022,254,45.0,270.0,40.0,38.57
2022-04-10,D15,DLN5,37,14,2022,190,37.0,254.0,45.0,36.29
2022-04-17,D15,DLN5,23,15,2022,230,44.0,190.0,37.0,27.14
2022-04-24,D15,DLN5,29,16,2022,223,41.0,230.0,44.0,32.86
2022-05-01,D15,DLN5,29,17,2022,239,41.0,223.0,41.0,31.86
2022-05-08,D15,DLN5,31,18,2022,233,38.0,239.0,41.0,34.14
2022-05-15,D15,DLN5,33,19,2022,233,37.0,233.0,38.0,33.29
2022-05-22,D15,DLN5,19,20,2022,146,23.0,233.0,37.0,33.29
2022-05-29,D15,DLN5,22,21,2022,202,43.0,146.0,23.0,20.86
2022-06-05,D15,DLN5,18,22,2022,127,26.0,202.0,43.0,28.86
2022-06-12,D15,DLN5,11,23,2022,90,21.0,127.0,26.0,18.14
2022-06-19,D15,DLN5,9,24,2022,62,10.0,90.0,21.0,12.86
2022-06-26,D15,DLN5,9,25,2022,69,11.0,62.0,10.0,8.86
2022-07-03,D15,DLN5,10,26,2022,69,10.0,69.0,11.0,9.86
2022-07-10,D15,DLN5,30,27,2022,179,30.0,69.0,10.0,9.86
2022-07-17,D15,DLN5,30,28,2022,208,30.0,179.0,30.0,25.57
2022-07-24,D15,DLN5,15,29,2022,135,25.0,208.0,30.0,29.71
