,帳務日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),數量,本日庫存量,退貨量(-),週,年,工作天數,休假天數
96,2020-09-08,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,37,2020,5.0,2.0
97,2020-09-15,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,38,2020,5.0,2.0
98,2020-09-22,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,39,2020,5.0,2.0
99,2020-09-30,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,40,2020,3.0,4.0
100,2020-10-06,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,41,2020,4.0,3.0
101,2020-10-13,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,42,2020,5.0,2.0
102,2020-10-20,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,43,2020,5.0,2.0
103,2020-10-27,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,44,2020,5.0,2.0
104,2020-11-04,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,45,2020,5.0,2.0
105,2020-11-10,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,46,2020,5.0,2.0
106,2020-11-17,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,47,2020,5.0,2.0
107,2020-11-24,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,48,2020,5.0,2.0
108,2020-12-01,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,49,2020,5.0,2.0
109,2020-12-08,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,50,2020,5.0,2.0
110,2020-12-15,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,51,2020,5.0,2.0
111,2020-12-22,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,52,2020,5.0,2.0
112,2021-01-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,1,2021,5.0,2.0
113,2021-01-12,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,2,2021,5.0,2.0
114,2021-01-19,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,3,2021,5.0,2.0
115,2021-01-26,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,4,2021,5.0,2.0
116,2021-02-02,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,5,2021,5.0,2.0
117,2021-02-09,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,6,2021,2.0,5.0
118,2021-01-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,0.0,0.0,,7,2021,4.0,3.0
119,2021-02-23,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,8,2021,5.0,2.0
120,2021-03-02,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,9,2021,4.0,3.0
121,2021-03-09,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,10,2021,5.0,2.0
122,2021-03-16,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,11,2021,5.0,2.0
123,2021-03-23,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,12,2021,5.0,2.0
124,2021-03-30,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,13,2021,4.0,3.0
125,2021-04-06,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,14,2021,4.0,3.0
126,2021-04-13,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,15,2021,5.0,2.0
127,2021-04-20,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,16,2021,5.0,2.0
128,2021-04-27,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,17,2021,5.0,2.0
129,2021-05-04,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,18,2021,5.0,2.0
130,2021-05-11,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,19,2021,5.0,2.0
131,2021-05-18,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,20,2021,5.0,2.0
132,2021-01-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,0.0,0.0,,21,2021,5.0,2.0
133,2021-06-01,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,22,2021,5.0,2.0
134,2021-06-08,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,23,2021,5.0,2.0
135,2021-06-15,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,24,2021,4.0,3.0
136,2021-06-22,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,25,2021,5.0,2.0
137,2021-06-29,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,26,2021,5.0,2.0
138,2021-07-06,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,27,2021,5.0,2.0
139,2021-07-13,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,28,2021,5.0,2.0
140,2021-07-20,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,29,2021,5.0,2.0
