手術日期,護理站,成本中心,人數,週,年,開刀總人數,開刀最多人,前1週開刀人數,前1週開刀最多人,前1週開刀平均人數
2022-11-13,D15,DLN5,1,45,2022.0,44,12.0,41.0,10.0,5.86
2022-11-20,D15,DLN5,2,46,2022.0,53,13.0,44.0,12.0,6.29
2022-11-27,D15,DLN5,2,47,2022.0,46,11.0,53.0,13.0,7.57
2022-12-04,D15,DLN5,2,48,2022.0,47,13.0,46.0,11.0,6.57
2022-12-11,D15,DLN5,1,49,2022.0,42,13.0,47.0,13.0,6.71
2022-12-18,D15,DLN5,1,50,2022.0,40,12.0,42.0,13.0,6.0
2022-12-25,D15,DLN5,3,51,2022.0,33,8.0,40.0,12.0,5.71
2023-01-01,D15,DLN5,2,52,2022.0,33,10.0,33.0,8.0,4.71
2023-01-08,D15,DLN5,1,1,2023.0,39,10.0,33.0,10.0,4.71
2023-01-15,D15,DLN5,1,2,2023.0,38,9.0,39.0,10.0,5.57
2023-01-19,D15,DLN5,1,3,2023.0,22,10.0,38.0,9.0,5.43
2023-01-28,D15,DLN5,1,4,2023.0,12,6.0,22.0,10.0,3.14
2023-02-04,D15,DLN5,1,5,2023.0,39,10.0,12.0,6.0,1.71
2023-02-11,D15,DLN5,3,6,2023.0,45,9.0,39.0,10.0,5.57
2023-02-19,D15,DLN5,4,7,2023.0,44,11.0,45.0,9.0,6.43
2023-02-26,D15,DLN5,2,8,2023.0,36,9.0,44.0,11.0,6.29
2023-02-27,D15,DLN5,4,9,2023.0,4,4.0,36.0,9.0,5.14
